double,geneA,geneB,residual,residual_bias_corrected,CI_low,CI_high,pctile_CI_low,pctile_CI_high,se_boot,noise_floor,noise_floor_sd,floor_ratio,z,p,bar_a_significant,bar_b_floor_ratio_ge_1p9,effect_norm,nonadditivity
ZC3HAV1+HOXC13,ZC3HAV1,HOXC13,0.3348657056056731,0.30062662723970185,0.288619490553823,0.3119989582057181,0.35773245300562806,0.38111192065752314,0.0060674179926255,0.1729961286478333,0.007712197197654448,1.9356832330471176,20.988775676932903,0.000999000999000999,True,True,3.700696100812203,0.5471377948267658
ETS2+IGDCC3,ETS2,IGDCC3,0.4276673454448301,0.3913257787466823,0.3768898788203624,0.40543370030422804,0.44990099058543215,0.4784448120692978,0.0071945197518069985,0.21990461216353882,0.009908941523028082,1.9447857015694703,20.9671974346056,0.000999000999000999,True,True,3.44112516089675,0.6913842959812946
ZBTB10+PTPN12,ZBTB10,PTPN12,0.3641640803099897,0.32748460720892275,0.3133410979207368,0.34101959566952794,0.38730856495045146,0.4149870626992426,0.007088826943536848,0.1916701868935573,0.008238150850600435,1.899951610691681,20.93842374880283,0.000999000999000999,True,False,5.544965600355261,0.5243146418202006
CNN1+UBASH3A,CNN1,UBASH3A,0.3042132615174009,0.27028768304146955,0.25814768264099935,0.28038689341866,0.3280396296161418,0.35027884039380247,0.005800246408657545,0.16046409319942853,0.00691222806817253,1.8958338619675963,20.7963578314014,0.000999000999000999,True,False,7.823478702608455,0.535238665993616
CEBPE+CNN1,CEBPE,CNN1,0.4881745089378993,0.4473911914368024,0.43126646590773565,0.4628749128504652,0.5134741050253334,0.545082551968063,0.008032405334105324,0.26393108686764616,0.010793103438719932,1.8496286842584209,20.776547111166067,0.000999000999000999,True,False,4.229601446852513,1.1150342633593373
CNN1+MAPK1,CNN1,MAPK1,0.3855926409780009,0.3461653210220689,0.33253710973165573,0.3595087753438298,0.411676506612172,0.43864817222434604,0.0068816111014995745,0.20851283489455474,0.00875039274302271,1.8492513478750392,20.236783797463726,0.000999000999000999,True,False,3.614983088497346,0.7561872900702944
CEBPE+CEBPA,CEBPE,CEBPA,0.18054071103899477,0.15632863066901792,0.14718017464997077,0.16468871078100666,0.19639271129698288,0.21390124742801878,0.004439242930603373,0.09899849621524832,0.004049439976262106,1.8236712469495757,20.136664650358682,0.000999000999000999,True,False,13.512118736871974,0.4846525357932074
ZBTB10+SNAI1,ZBTB10,SNAI1,0.3919739536890423,0.3490706035316582,0.3359400847373199,0.3619753069313986,0.421972600446686,0.4480078226407647,0.00669330768014426,0.22022410808947385,0.008590293730462743,1.7798866667666966,19.9934776375006,0.000999000999000999,True,False,8.888439035792823,0.4290060820726193
DUSP9+ETS2,DUSP9,ETS2,0.2322656809879459,0.20354011041171888,0.19317242186019074,0.21307795348052133,0.25145340849537046,0.27135894011570105,0.005016623009618656,0.12425521377331193,0.005584730929492479,1.869263058946448,19.340317121499993,0.000999000999000999,True,False,4.583201435018881,0.5763406511148474
CEBPB+MAPK1,CEBPB,MAPK1,0.24369676264700754,0.21456486939928193,0.20556830672653426,0.2229938798373841,0.26439964545663097,0.28182521856748083,0.004602238353171926,0.12931129416205167,0.005924594541216487,1.8845744621626717,19.306885507386855,0.000999000999000999,True,False,6.526951538339907,0.680338093927856
ETS2+PRTG,ETS2,PRTG,0.34594712316459775,0.30564722824839824,0.29289500989170386,0.31737503347102747,0.374519212858168,0.39899923643749163,0.006279799645718989,0.19303168788392733,0.007955908928190463,1.7921778903607817,19.220360195280712,0.000999000999000999,True,False,3.9841627002983304,0.5422462654116608
DUSP9+MAPK1,DUSP9,MAPK1,0.514123217699531,0.47022886689385124,0.4549545947358148,0.4846591373439222,0.5435872980551397,0.5732918406632471,0.007750795255134915,0.29176005514995096,0.011785029692271357,1.7621439557080416,18.868273424496007,0.000999000999000999,True,False,3.079823553976489,1.3127976040060856
ETS2+MAP7D1,ETS2,MAP7D1,0.3466902865069842,0.3067979760160024,0.2927571323951172,0.32017527493741904,0.37320529807654934,0.4006234406188512,0.007066718493742728,0.19296367841584663,0.008256056818072843,1.796660850130815,18.61985830264925,0.000999000999000999,True,False,4.8125893565710935,0.4467175740960458
POU3F2+FOXL2,POU3F2,FOXL2,0.293880284024411,0.2592847691598977,0.24659377640646096,0.2704599621222067,0.31730060592661535,0.3411667916423611,0.005984747662947941,0.15924771126890147,0.00723686577079856,1.8454286198699117,18.603712852981847,0.000999000999000999,True,False,6.226164153940775,0.4131160918010562
DUSP9+IGDCC3,DUSP9,IGDCC3,0.2222684610647742,0.19209341497775057,0.18338255478862447,0.2000898357505921,0.24444708637895626,0.2611543673409239,0.004155535426601506,0.12452239249453075,0.005280196127989301,1.78496780066715,18.511825356658704,0.000999000999000999,True,False,6.803347026667336,0.3708769668925996
FOSB+IKZF3,FOSB,IKZF3,0.3164402657954342,0.2795561392347153,0.2659683523892862,0.29235742842328133,0.3405231031675871,0.36691217920158226,0.00670772512038561,0.17262804866460696,0.007815128017395843,1.8330756110800686,18.401773689530472,0.000999000999000999,True,False,5.960945744620198,0.6074874180864831
PTPN12+SNAI1,PTPN12,SNAI1,0.487597965308986,0.44407881125122195,0.4261052124399054,0.4607867184176653,0.5144092122003068,0.5490907181780667,0.008985232092779655,0.27244864263713076,0.011732162818109548,1.7896876291595574,18.33841943786825,0.000999000999000999,True,False,3.4775896779584357,0.7266951128657939
SGK1+S1PR2,SGK1,S1PR2,0.25573212484985725,0.22335625689847627,0.2059490434376578,0.23800131125030605,0.27346293844940844,0.3055152062620567,0.008324108828251638,0.1409013883820803,0.006463275075242069,1.814972356101929,17.766648507293525,0.000999000999000999,True,False,6.422479962191433,0.4381615737275288
